CALCULO A VARIAS VARIAVEIS I,CALCULO DE UMA VARIAVEL,CÁLCULO 1
PROBABILIDADE E ESTATISTICA,ALGEBRA LINEAR I,LÓGICA MATEMÁTICA
EQUACOES DIFER E DE DIFERENCAS,INTROD ARQ DE COMPUTADORES,PROBABILIDADE E ESTATÍSTICA
ESTRUTURAS DISCRETAS,PROGRAMACAO II,INTRODUÇÃO À COMPUTAÇÃO
Mecânica Newtoniana,ESTRUTURAS DE DADOS AVANCADAS,PROGRAMAÇÃO DE COMPUTADORES 2 CN
LAB DE MECANICA NEWTONIANA,SOFTWARE BASICO,SISTEMAS DIGITAIS
LOGICA PARA COMPUTACAO,SISTEMAS DE COMPUTACAO,ANÁLISE E PROJETO DE ALGORITMOS
O HUMANO E O FENOM RELIGIOSO,LING FORMAIS E AUTOMATOS,ESTRUTURAS DE DADOS II
ETICA CRISTA,SEMANTICA DE LINGUAGENS,LINGUAGENS DE PROGRAMAÇÃO
ETICA SOCIOAMBIENT DIR HUMANOS,ANALISE DE ALGORITMOS,TÓPICOS 1
 ,COMPUTABILIDADE,DIREITO
 ,INTRODUCAO A PROGRAMACAO,COMPUTADOR E SOCIEDADE
 ,INTR INT HUMANO-COMPUTADOR,EMPREENDEDORISMO
 ,MODELAGEM DE DADOS,TÓPICOS 2
 ,PROGRAMACAO MODULAR,MATEMÁTICA DISCRETA
 ,BANCOS DE DADOS,FÍSICA PARA COMPUTAÇÃO
 ,ENGENHARIA DE REQUISITOS,PESQUISA OPERACIONAL
 ,ANALISE NUMERICA I,ENGENHARIA DE SOFTWARE
 ,PROGRAMACAO ORIENTADA OBJETOS,SISTEMAS GERENCIADORES DE BD
 ,COMPILADORES,REDES DE COMPUTADORES 2
 ,MODELAGEM DE SOFTWARE,SISTEMAS DISTRIBUÍDOS
 ,ESPEC/ANAL FORMAL DE SISTEMAS,COMPUTAÇÃO GRÁFICA
 ,REDES DE COMUNICACAO DE DADOS,PROJETO FINAL DE CURSO 1
 ,INTELIGENCIA ARTIFICIAL,MULTIMÍDIA
 ,TESTE DE SOFTWARE,PROJETO FINAL DE CURSO 2
 , ,SEGURANÇA E AUDITORIA DE SISTEMAS
