Disciplina Eletiva,FUNDAMENTOS APLICADOS DA ADMINISTRAÇÃO,Álgebra Linear
Empreendimentos Empresariais,Fundamentos de Desenvolvimento de Software,Análise Combinatória
Atividades Complementares,Prática Profissional,Cálculo Diferencial e Integral
Comportamento Organizacional,Legislação em Informática,Equações Diferenciais
Fundamentos da Computação,Ética e Filosofia da Ciência,Geometria Analítica
Planejamento e Gestão Estratégica de TI,Introdução a Sistemas de Informação,Lógica Matemática
Governança Estratégica em TI,Sistemas Operacionais,Matemática Discreta
Humanismo e Cultura Religiosa,Teoria da Computação,Probabilidade e Estatística
Qualidade de Produto,Engenharia de Software,Administração
Disciplina Integradora I,Lógica para Computação,Computadores e Sociedade
Disciplina Integradora II,Matemática Discreta,Contabilidade e Custos
INFRAESTRUTURA DE TECNOLOGIA DA INFORMAÇÃO,Arquitetura de Computadores,Economia
Cálculo A,Engenharia de Requisitos,Empreendedorismo
Fundamentos de Programação,Interação Humano - Computador,Informática na Educação
Modelagem de Negócio,Laboratório de Banco de Dados,Inglês
Métodos Estatísticos,Fundamentos de Redes de Computadores,Sociologia
Programação Orientada a Objetos,Modelagem e Projeto de Banco de Dados,Psicologia
Gerência de Projetos de TI,Projeto e Desenvolvimento de Software,Circuitos Eletrônicos
Inteligência de Negócio,Gerência de Redes de Computadores,Análise de Algoritmos
Tópicos Avançados em Gestão de Dados,Programação de Software Aplicado,Algoritmos e Estruturas de Dados
 ,Sistemas Distribuídos,Arquitetura e Organização de Computadores
 ,Sistemas de Gerenciamento de Banco de Dados,Circuitos Digitais
 ,Arquitetura Organizacional Aplicada a SI,Organização de Arquivos e Dados
 ,Avaliação de Desempenho de Sistemas,Teoria dos Grafos
 ,Sistemas de Informação Integrados,Análise de Desempenho
 ,Auditoria e Segurança de Sistemas de Informação,Compiladores
 ,Qualidade de Processo,Computação Gráfica
 ,Trabalho de Conclusão I,Automação e Controle
 ,Trabalho de Conclusão II,Inteligência Artificial
 , ,Matemática Computacional
 , ,Métodos Formais
 , ,Processamento Digital de Sinais
 , ,Processamento de Imagens
 , ,Programação Paralela
 , ,Sistemas Distribuídos
 , ,Sistemas Embarcados
 , ,Sistemas Multimídia
 , ,Telecomunicações
