CALCULO DIFERENCIAL E INTEGRAL 1,MATEMÁTICA DISCRETA PARA COMPUTAÇÃO,CÁLCULO E GEOMETRIA ANALÍTICA I - A
ADMINISTRAÇÃO CONTEMPORÂNEA,ESTATÍSTICA E PROBABILIDADE PARA COMPUTAÇÃO,FUNDAMENTOS DE ALGORITMOS
INTRODUÇÃO AOS SISTEMAS DE INFORMAÇÃO,LÓGICA PARA COMPUTAÇÃO,ÁLGEBRA LINEAR I - A
INGLÊS PARA COMPUTAÇÃO,CONTABILIDADE DE CUSTOS E GERENCIAL,CÁLCULO E GEOMETRIA ANALÍTICA II - A
COMPORTAMENTO ORGANIZACIONAL,TÓPICOS AVANÇADOS EM SI 1,LÓGICA PARA COMPUTAÇÃO
COMUNICAÇÃO TÉCNICA E CIENTÍFICA,MARKETING EMPRESARIAL,TEORIA DOS GRAFOS E ANÁLISE COMBINATÓRIA
ECONOMIA DAS EMPRESAS,TÓPICOS AVANÇADOS EM SI 3,SEMÂNTICA FORMAL N
ESTÁGIO SUPERVISIONADO,TÓPICOS AVANÇADOS EM SI 4,ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES I
VIABILIDADE ECONÔMICO-FINANCEIRA DE PROJETOS DE SI,EMPREENDIMENTOS EM INFORMÁTICA,ESTRUTURAS DE DADOS
GESTÃO DE PESSOAS E EQUIPES,TRABALHO DE CONCLUSÃO DE CURSO EM SISTEMAS DE INFORMAÇÃO,ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES II
GESTÃO DE PROCESSOS DE TI,ADMINISTRAÇÃO DE SISTEMAS,CIRCUITOS DIGITAIS
INTRODUÇÃO A LIBRAS,TÓPICOS AVANÇADOS EM SI 5,CLASSIFICAÇÃO E PESQUISA DE DADOS
SEMINÁRIO EM SI 1,TÓPICOS AVANÇADOS EM SI 6,LINGUAGENS FORMAIS E AUTÔMATOS N
SEMINÁRIO EM SI 2,PROGRAMAÇÃO 1,TEORIA DA COMPUTAÇÃO N
INOVAÇÃO EM SI,ORGANIZAÇÃO DE COMPUTADORES E SISTEMAS,SISTEMAS OPERACIONAIS I N
PENSAMENTO SISTÊMICO,SISTEMAS DE GESTÃO EMPRESARIAL,CÁLCULO NUMÉRICO A
SEMINÁRIO EM SI 3,ALGORITMOS E ESTRUTURAS DE DADOS,FUNDAMENTOS DE PROCESSAMENTO DE IMAGENS
SEMINÁRIO EM SI 4,REDES DE COMPUTADORES,MODELOS DE LINGUAGEM DE PROGRAMAÇÃO
DIREITO E ÉTICA EM INFORMÁTICA,BANCO DE DADOS,OTIMIZAÇÃO COMBINATÓRIA
SEMINÁRIO EM SI 5,ENGENHARIA DE SOFTWARE,COMPILADORES
SEMINÁRIO EM SI 6,GESTÃO DE PROCESSOS DE NEGÓCIO,SISTEMAS OPERACIONAIS II N
FUNDAMENTOS DE SISTEMAS DE INFORMAÇÃO,PLANEJAMENTO E GERENCIAMENTO DE PROJETOS, 
SISTEMAS DE APOIO À DECISÃO,GESTÃO DA INFORMAÇÃO E DO CONHECIMENTO, 
GESTÃO DA PRODUÇÃO,ADMINISTRAÇÃO DE BANCO DE DADOS, 
ANÁLISE DAS ORGANIZACOES,PROGRAMAÇÃO 2, 
TÓPICOS AVANÇADOS EM SI 2,INTERAÇÃO HUMANO-COMPUTADOR, 
TENDÊNCIAS E DESAFIOS EM SISTEMAS DE INFORMAÇÃO,PROCESSOS DE SOFTWARE, 
LOGÍSTICA,PROGRAMAÇÃO 3, 
 ,ESTRATÉGIA E PLANEJAMENTO, 
 ,AVALIAÇÃO DE DESEMPENHO DE SISTEMAS, 
 ,ENGENHARIA DE REQUISITOS, 
 ,TESTE DE VALIDAÇÃO DE SOFTWARE, 
 ,INTELIGÊNCIA ARTIFICIAL, 
 ,SISTEMAS MULTIMÍDIA, 
