Geometria Analítica,Fundamentos de Matemática Discreta para Computação,ESTATIST PROBABILIDADE COMPUTACAO
Álgebra Linear,Calculo A,LOGICA PARA COMPUTACAO
|Ciência, Tecnologia e Sociedade|,Probabilidade e Estatística,INGLES PARA COMPUTACAO
Planejamento e Gestão de Projetos,Cálculo B para Computação,HISTORIA E FUTURO DA COMPUTACAO
Organização de Computadores I,Informática e Sociedade,METODOL EXPRESSAO TEC-CIENTIFICA
Grafos,Trabalho de Conclusão de Curso I (TCC),ALGEBRA VET LINEAR P/COMPUTACAO
Linguagens Formais e Compiladores,Trabalho de Conclusão de Curso II (TCC),ALGORITMOS E ESTRUTURAS DE DADOS
Sistemas Multimídia,Circuitos e Técnicas Digitais,FISICA PARA COMPUTACAO
Introdução à Computação,Programação Orientada a Objetos I,INTRODUCAO A COMPUTACAO
Cálculo Numérico para Computação,Sistemas Digitais,INFRA-ESTRUTURA DE HARDWARE
Programação Concorrente,Estruturas de Dados,INTERFACES USUARIO-MAQUINA
Computação Gráfica,Sistemas Operacionais I,PROCESSAMENTO GRAFICO
Banco de Dados I,Teoria da Computação,INTRODUÇÃO A MULTIMIDIA
Construção de Compiladores,Paradigmas de Programação,TEO.IMPLEMEN.LING. COMPUTACIONAIS
Banco de Dados II,Banco de Dados I, 
 ,Programação Orientada a Objetos II, 
 ,Redes de Computadores I, 
 ,Engenharia de Software I, 
 ,Computação Distribuída, 
 ,Engenharia de Software II, 
 ,Redes de Computadores II, 
 ,Modelagem e Simulação, 
 ,Segurança em Computação, 
 ,Inteligência Artificial, 
