|Ciência, Tecnologia e Sociedade|,Fundamentos de Matemática Discreta para Computação,Algebra 1
Informática e Sociedade,Calculo A,Lógica Computacional 1
Trabalho de Conclusão de Curso II (TCC),Probabilidade e Estatística,SOFTWARE BASICO
Circuitos e Técnicas Digitais,Geometria Analítica,Computação Experimental
Sistemas Digitais,Cálculo B para Computação,INFORMATICA E SOCIEDADE
Grafos,Álgebra Linear,Trabalho de Graduação 1
Paradigmas de Programação,Planejamento e Gestão de Projetos,Trabalho de Graduação 2
Sistemas Multimídia,Trabalho de Conclusão de Curso I (TCC),Introdução aos Sistemas Computacionais
Programação Orientada a Objetos II,Programação Orientada a Objetos I,Organização de Arquivos
Engenharia de Software I,Estruturas de Dados,Projeto e Análise de Algoritmos
Computação Distribuída,Organização de Computadores I,Teoria e Aplicação de Grafos
Computação Gráfica,Sistemas Operacionais I,Algoritmos e Programação de Computadores
Segurança em Computação,Teoria da Computação,BANCOS DE DADOS
Banco de Dados II,Linguagens Formais e Compiladores,CIRCUITOS DIGITAIS
 ,Banco de Dados I,INTRODUCAO A INTELIGENCIA ARTIFICIAL
 ,Introdução à Computação,Segurança Computacional
 ,Cálculo Numérico para Computação,Tecnicas de Programação 1
 ,Programação Concorrente,Tecnicas de Programação 2
 ,Redes de Computadores I, 
 ,Engenharia de Software II, 
 ,Redes de Computadores II, 
 ,Banco de Dados I, 
 ,Modelagem e Simulação, 
 ,Construção de Compiladores, 
 ,Inteligência Artificial, 
