Algebra 1,Cálculo 1,Cálculo Diferencial e Integral I
Probabilidade e Estatística,Cálculo 2,Vetores e Geometria
SOFTWARE BASICO,Fundamentos Teóricos da Computação,Introdução à Probabilidade e à Estatística
Autômatos e Computabilidade,INTRODUCAO A ALGEBRA LINEAR,Funções Diferenciáveis e Séries
Fundamentos de Sistemas Operacionais,Lógica Computacional 1,Técnicas de Programação I
Introdução aos Sistemas Computacionais,ESTRUTURAS DE DADOS,Algoritmos e Estruturas de Dados II
Organização de Arquivos,LINGUAGENS DE PROGRAMACAO,Integração na Universidade e na Profissão
Teoria e Aplicação de Grafos,ORGANIZACAO E ARQUITETURA DE COMPUTADORES,Caminhos no Bacharelado em Ciência da Computação
Computação Experimental,Projeto e Análise de Algoritmos,Língua Portuguesa
INFORMATICA E SOCIEDADE,SISTEMAS DE INFORMACAO,Modelagem e Simulação
Trabalho de Graduação 1,Algoritmos e Programação de Computadores, 
Trabalho de Graduação 2,CIRCUITOS DIGITAIS, 
BANCOS DE DADOS,ENGENHARIA DE SOFTWARE, 
CALCULO NUMERICO, , 
Compiladores, , 
INTRODUCAO A INTELIGENCIA ARTIFICIAL, , 
INTRODUCAO A INTELIGENCIA ARTIFICIAL, , 
Metodologia Científica, , 
Programação Concorrente, , 
Redes de Computadores, , 
Segurança Computacional, , 
Tecnicas de Programação 1, , 
Tecnicas de Programação 2, , 
