Lógica Computacional 1,Algebra 1,Geometria Analítica I
Probabilidade e Estatística,Cálculo 1,Circuitos Lógicos
LINGUAGENS DE PROGRAMACAO,Cálculo 2,Projetos Digitais e Microprocessadores
Organização de Arquivos,Fundamentos Teóricos da Computação,Algoritmos e Estruturas de Dados III
Trabalho de Graduação 1,INTRODUCAO A ALGEBRA LINEAR,Introdução a Teoria Geral da Administração
Trabalho de Graduação 2,SOFTWARE BASICO,Estatística II
CALCULO NUMERICO,Autômatos e Computabilidade,Introdução à Computação Científica
CIRCUITOS DIGITAIS,ESTRUTURAS DE DADOS,Engenharia de Requisitos
INTRODUCAO A INTELIGENCIA ARTIFICIAL,Fundamentos de Sistemas Operacionais,Redes de Computadores II
INTRODUCAO A INTELIGENCIA ARTIFICIAL,Introdução aos Sistemas Computacionais,Projeto de Software
Segurança Computacional,ORGANIZACAO E ARQUITETURA DE COMPUTADORES,Inteligência Artificial
 ,Projeto e Análise de Algoritmos, 
 ,SISTEMAS DE INFORMACAO, 
 ,Teoria e Aplicação de Grafos, 
 ,Computação Experimental, 
 ,INFORMATICA E SOCIEDADE, 
 ,Algoritmos e Programação de Computadores, 
 ,BANCOS DE DADOS, 
 ,Compiladores, 
 ,ENGENHARIA DE SOFTWARE, 
 ,Metodologia Científica, 
 ,Programação Concorrente, 
 ,Redes de Computadores, 
 ,Tecnicas de Programação 1, 
 ,Tecnicas de Programação 2, 
