Lógica Computacional,Cálculo I,Matemática Discreta I
Sistemas Operacionais I,Geometria Analítica,Cálculo III
Projeto de Redes de Computadores,Probabilidade e Estatística,Cálculo IV
Projeto e Implementação de Sistemas II,Cálculo II,Laboratório de Física Geral I
Metodologia da Pesquisa Científica,Álgebra Linear,Laboratório de Introdução à Ciência de Computação I
Linguagem de Montagem,Cálculo IV,Prática em Lógica Digital
|Direito, Legislação e Ética|,Laboratório de Mecânica Aplicada,Introdução à Lógica Digital
Empreendedorismo,Algoritmos I,Eletrônica para Computação
Banco de Dados II,Algoritmos II,Introdução à Ciência de Computação II
Segurança em Sistemas de Informação,Laboratório de Circuitos Digitais,Prática em Sistemas Digitais
Dispositivos e Circuitos Eletrônicos,Teoria da Computação e Linguagens Formais,Organização de Arquivos
 ,Administração de Sistemas de Informação,Modelagem Computacional em Grafos
 ,Sistemas Operacionais II,Programação Orientada a Objetos
 ,Projeto e Implementação de Sistemas I 12,Algoritmos Avançados e Aplicações
 ,Fundamentos de Computação,Teoria da Computação e Linguagens Formais
 ,Circuitos Digitais,Arquitetura de Computadores
 ,Pesquisa Operacional I,Sistemas de Informação
 ,Estruturas de Dados II,Informação Profissional em Ciências da Computação
 ,Pesquisa Operacional II,Evolução Histórica da Computação e Aplicações
 ,Compiladores,Computadores e Sociedade I
 ,Banco de Dados I,Projeto Supervisionado I
 ,Engenharia de Software I,Projeto Supervisionado II
 ,Microcontroladores,Processos Estocásticos
 ,Computação Gráfica,Redes de Computadores
 ,Inteligência Artificial,Introdução ao Desenvolvimento Web
 ,Engenharia de Software II, 
 ,Redes de Computadores, 
