Laboratório de Mecânica Aplicada,Cálculo I,Cálculo Diferencial e Integral II
Sistemas Operacionais I,Geometria Analítica,Matemática Discreta
Projeto e Implementação de Sistemas II,Lógica Computacional,Organização e Arquitetura de Computadores
Linguagem de Montagem,Probabilidade e Estatística,Algoritmos e Estruturas de Dados III
Laboratório de Circuitos Digitais,Cálculo II,Software Básico
|Direito, Legislação e Ética|,Álgebra Linear,Algoritmos e Teoria dos Grafos
Projeto e Implementação de Sistemas I 12,Cálculo IV,Introdução à Teoria da Computação
Empreendedorismo,Projeto de Redes de Computadores,Introdução a Teoria Geral da Administração
Computação Gráfica,Algoritmos I,Análise de Algoritmos
Inteligência Artificial,Metodologia da Pesquisa Científica,Teoria de Sistemas
Banco de Dados II,Algoritmos II,Introdução a Álbebra
Segurança em Sistemas de Informação,Teoria da Computação e Linguagens Formais,Sistemas Operacionais
Dispositivos e Circuitos Eletrônicos,Administração de Sistemas de Informação,Introdução à Computação Científica
 ,Sistemas Operacionais II,Engenharia de Requisitos
 ,Fundamentos de Computação,Inteligência Artificial
 ,Circuitos Digitais,Sistemas de Bancos de Dados
 ,Pesquisa Operacional I,Construção de Compiladores
 ,Estruturas de Dados II, 
 ,Pesquisa Operacional II, 
 ,Compiladores, 
 ,Banco de Dados I, 
 ,Engenharia de Software I, 
 ,Microcontroladores, 
 ,Engenharia de Software II, 
 ,Redes de Computadores, 
