Lógica Matemática,Cáculo I,LÓGICA MATEMÁTICA
Seminários I,Geometria Analítica e Álgebra Linear,CÁLCULO 2
Programação para Dispositivos Móveis,Matemática Discreta,DIREITO
Governança e Planejamento Estratégico de TI,Estatística,COMPUTADOR E SOCIEDADE
Seminários II,Administração da Produção,EMPREENDEDORISMO
Empreendedorismo e Inovação,Trabalho de Conclusão de Curso II,TÓPICOS 2
Estágio em Computação I,Algoritmos e Programação de Computadores I,INTRODUÇÃO À COMPUTAÇÃO
Estágio em Computação II,Algoritmos e Programação de Computadores II,SISTEMAS DIGITAIS
Administração de Empresas,Estruturas de Dados I,TEORIA DOS GRAFOS
Fundamentos de Sistemas de Informação,Economia e Finanças,ANÁLISE E PROJETO DE ALGORITMOS
Análise de Sistemas de Informação II,Programação Orientada a Objetos I,SISTEMAS OPERACIONAIS 1
Metodologia do Trabalho Científico,Análise de Sistemas de Informação I,LINGUAGENS FORMAIS E AUTÔMATOS
Gestão de Projetos,Teoria Geral de Sistemas,TEORIA DA COMPUTAÇÃO
Programação para a Web,Programação Orientada a Objetos II,PROGRAMAÇÃO DE COMPUTADORES 1 CN
Introdução a Interfaces Humano-Computador,Banco de Dados II,FÍSICA PARA COMPUTAÇÃO
Trabalho de Conclusão de Curso I,Organização e Arquitetura de Computadores,PROGRAMAÇÃO ORIENTADA A OBJETOS
Cálculo Numérico,Sistemas Operacionais,BANCO DE DADOS
 ,Engenharia de Software II,ENGENHARIA DE SOFTWARE
 ,Introdução a Multimídia,REDES DE COMPUTADORES 2
 ,Inteligência Artificial,SISTEMAS DISTRIBUÍDOS
 ,Introdução a Auditoria e Segurança de Sistemas de Informação,COMPILADORES
 ,Engenharia de Software I,COMPUTAÇÃO GRÁFICA
 ,Estruturas de Arquivos,PROJETO FINAL DE CURSO 1
 ,Banco de Dados I,PROJETO FINAL DE CURSO 2
 ,Redes de Comunicação I, 
 ,Sistemas de Apoio à Decisão, 
