Seminários I,Cáculo I,FUNDAMENTOS DE ALGORITMOS
Administração da Produção,Geometria Analítica e Álgebra Linear,CÁLCULO E GEOMETRIA ANALÍTICA II - A
Programação para Dispositivos Móveis,Lógica Matemática,TEORIA DOS GRAFOS E ANÁLISE COMBINATÓRIA
Governança e Planejamento Estratégico de TI,Matemática Discreta,SEMÂNTICA FORMAL N
Seminários II,Estatística,TÉCNICAS DE CONSTRUÇÃO DE PROGRAMAS
Empreendedorismo e Inovação,Trabalho de Conclusão de Curso II,EMPREENDIMENTO EM INFORMÁTICA
Estágio em Computação I,Algoritmos e Programação de Computadores I,INTRODUÇÃO À ARQUITETURA DE COMPUTADORES
Estágio em Computação II,Fundamentos de Sistemas de Informação,CIRCUITOS DIGITAIS
Administração de Empresas,Algoritmos e Programação de Computadores II,LINGUAGENS FORMAIS E AUTÔMATOS N
Economia e Finanças,Estruturas de Dados I,TEORIA DA COMPUTAÇÃO N
Programação Orientada a Objetos I,Análise de Sistemas de Informação I,ALGORÍTMOS E PROGRAMAÇÃO - CIC
Programação Orientada a Objetos II,Teoria Geral de Sistemas,FUNDAMENTOS DE BANCO DE DADOS
Análise de Sistemas de Informação II,Banco de Dados II,FUNDAMENTOS DE PROCESSAMENTO DE IMAGENS
Metodologia do Trabalho Científico,Gestão de Projetos,MODELOS DE LINGUAGEM DE PROGRAMAÇÃO
Programação para a Web,Organização e Arquitetura de Computadores,OTIMIZAÇÃO COMBINATÓRIA
Introdução a Interfaces Humano-Computador,Sistemas Operacionais,COMPILADORES
Trabalho de Conclusão de Curso I,Engenharia de Software II, 
Sistemas de Apoio à Decisão,Introdução a Multimídia, 
 ,Inteligência Artificial, 
 ,Introdução a Auditoria e Segurança de Sistemas de Informação, 
 ,Engenharia de Software I, 
 ,Cálculo Numérico, 
 ,Estruturas de Arquivos, 
 ,Banco de Dados I, 
 ,Redes de Comunicação I, 
